month,total.name-bot,total.anonymous,total.group-bot,total.user,timeRange.start,timeRange.end
2023-06-01T00:00:00.000Z,102,211,6835,16754,2023-06-01T00:00:00.000Z,2023-07-01T00:00:00.000Z
2023-07-01T00:00:00.000Z,102,211,6835,16758,2023-07-01T00:00:00.000Z,2023-08-01T00:00:00.000Z
