month,total.user,total.name-bot,total.group-bot,total.anonymous,timeRange.start,timeRange.end
2023-06-01T00:00:00.000Z,126,1,0,17,2023-06-01T00:00:00.000Z,2023-07-01T00:00:00.000Z
2023-07-01T00:00:00.000Z,106,5,0,12,2023-07-01T00:00:00.000Z,2023-08-01T00:00:00.000Z
